"","BDI1","BDI2","BDI3","BDI4","BDI5","BDI6","BDI7","BDI8","BDI9","BDI10","BDI11","BDI12","BDI13","BDI14","BDI15","BDI16","BDI17","BDI18","BDI19","BDI20","BDI21","PQB1","PQB2","PQB3","PQB4","PQB5","PQB6","PQB7","PQB8","PQB9","PQB10","PQB11","PQB12","PQB13","PQB14","PQB15","PQB16","PQB17","PQB18","PQB19","PQB20","PQB21"
"BDI11",0.604000192282263,0.620227389190493,0.611269985604665,0.638949797428812,0.645900258004346,0.474906458376491,0.618208282553252,0.667344346132065,0.537230936886687,0.632083060566204,1,0.542338742456914,0.63421040608938,0.61015319816674,0.58368655705931,0.514577574695721,0.604032688830192,0.42651844045082,0.192576881230507,0.383724024145359,0.368513344951345,0.355851208746389,0.394525417879769,0.347156624514544,0.153861570491473,0.328796485055568,0.356068182736595,0.0994118687846875,0.453787536415618,0.328768509514553,0.365280082061819,0.326075908141748,0.365724865429859,0.322558078806125,0.268082825256539,0.123937238747854,0.296727556001827,0.338713265256532,0.402947272877182,0.343004318528927,0.287881095206282,0.265389619458666
"BDI12",0.581479504271924,0.619135239370945,0.486946143350783,0.657886438712323,0.536687439533931,0.380168885822888,0.563077840168369,0.576330256372941,0.51053618277698,0.504657623872565,0.542338742456914,1,0.582802788015589,0.467506335938765,0.512288451872325,0.426875922684075,0.600582154204742,0.429457078930642,0.166764110833148,0.321876736661135,0.47676198519724,0.406281059972957,0.238862602315538,0.213621648899042,0.11185261366342,0.281909345380663,0.254939931505599,0.172269474736571,0.364305885755587,0.260426511940844,0.15027899807052,0.216578275991965,0.363760850623151,0.171877036320828,0.234088723901936,0.0874419615777867,0.140492566350918,0.295934744423039,0.368612697730173,0.264245705780262,0.187892787540704,0.256920590782473
"BDI13",0.613686371653665,0.652374815998336,0.687437524070546,0.683681444382488,0.68832145838134,0.514086797302308,0.658436714019342,0.707259975522367,0.538293641282477,0.538377469367418,0.63421040608938,0.582802788015589,1,0.589337365038872,0.623780432405571,0.465137647368068,0.635272885026537,0.424467469965675,0.0545759440348497,0.398741580435807,0.419647186364359,0.405557060383459,0.300513915608059,0.251862707729956,0.159529440312104,0.354339422084214,0.318702489368616,0.0767703288645289,0.487826172991536,0.322193766674841,0.302402121486874,0.337552525054743,0.402816145558862,0.271032761414121,0.319744973391452,0.196254043942605,0.234633254194728,0.318959458590672,0.453152727165915,0.263510964941966,0.278281718022069,0.229759292014412
"BDI14",0.61164638579073,0.664598909914857,0.667215940994762,0.585855457038705,0.73231615127006,0.504025290449024,0.811356182341205,0.741758472375775,0.563972795904668,0.513516832340914,0.61015319816674,0.467506335938765,0.589337365038872,1,0.465602639147469,0.506117867288926,0.556121034796073,0.457936127260339,0.243802679879659,0.397851892510193,0.336113745003666,0.309840719409109,0.247139944226076,0.357781026787516,0.177874889323227,0.306242868205261,0.147596559857632,0.126415961454364,0.490237718405309,0.212147019238362,0.139224765155993,0.241412723460959,0.313943754503391,0.322111666091642,0.27334043465466,0.0965945037945754,0.35952554916831,0.150435859737498,0.451384808040149,0.234858261470309,0.297871412664746,0.226360633408864
"BDI15",0.609778443103146,0.59620147022629,0.613342009372858,0.634988472436378,0.607019080546492,0.457947003970163,0.59333923785049,0.577033993088259,0.50643514949235,0.569980113747246,0.58368655705931,0.512288451872325,0.623780432405571,0.465602639147469,1,0.493027982854048,0.71492271637845,0.436475713335334,0.240589759719205,0.393166958623124,0.438775142528404,0.330636471349046,0.232874487028808,0.291976264355383,0.128481204222572,0.332572761070069,0.366350295535302,0.13449519698111,0.423880765828484,0.171080575503025,0.339553343336243,0.207498542751213,0.379391048712232,0.211064041344679,0.299229612681385,0.291349297071649,0.398980929832173,0.324129512744786,0.391937332058586,0.295018335928367,0.204605147241678,0.292649651354381
"BDI16",0.520284034773861,0.487947070024583,0.534589598438399,0.554143170876449,0.546844928661235,0.486456152548662,0.545731309236921,0.49194878968715,0.530866495015448,0.456531702227436,0.514577574695721,0.426875922684075,0.465137647368068,0.506117867288926,0.493027982854048,1,0.547785069549147,0.425681507975908,0.178877254843742,0.399930863723615,0.360630935968398,0.477448507015535,0.365979261278424,0.270769077600212,0.0377991653895631,0.462248761671872,0.178667094047848,0.176827572588458,0.45234420223416,0.232424302618225,0.31732236755925,0.360266582823389,0.417859399471487,0.327587324453201,0.385092138185382,0.312122691643425,0.412941705097975,0.312697941963855,0.401159252008946,0.290854144586525,0.343956515663597,0.283199629928108
"BDI17",0.67867601598622,0.670673440099031,0.664504007457763,0.713441531706163,0.677295701672794,0.514875297895781,0.682780869282388,0.660072830438113,0.598055912735952,0.65064978005517,0.604032688830192,0.600582154204742,0.635272885026537,0.556121034796073,0.71492271637845,0.547785069549147,1,0.496894957236628,0.196746652480442,0.444568935863004,0.397297755635801,0.391213483520199,0.224694608133701,0.230772862196163,0.108032388356499,0.357423950530348,0.220907028709881,0.12160458159768,0.400460780713905,0.198151994238267,0.333706625652741,0.299388992720789,0.453889954766315,0.257227854847494,0.310917012092913,0.220039495137333,0.373040103820285,0.293868763374209,0.448082301174668,0.257327319292751,0.145164991384948,0.253549413213728
"BDI18",0.559363572975824,0.474553103694263,0.474192166124676,0.526081539251198,0.493922164643845,0.386493808648206,0.52804613173829,0.494971566494979,0.510411775834063,0.548132689367002,0.42651844045082,0.429457078930642,0.424467469965675,0.457936127260339,0.436475713335334,0.425681507975908,0.496894957236628,1,0.56318984626294,0.504671385550812,0.470932043104975,0.384046321731178,0.340385952812112,0.298430035788826,0.176298484478412,0.281625471198395,0.146400673745973,0.18968209446876,0.286642944280734,0.241165694653912,0.203851229735676,0.237696776921923,0.274622349065357,0.163159389738252,0.205177274698243,0.179851697388354,0.185484364018809,0.231510367387243,0.352715307681271,0.279609343406139,0.286577766123525,0.274216559187596
"BDI19",0.257490190155852,0.189178968126639,0.129410911212436,0.299313706725221,0.24679113818831,0.0123704401188031,0.243395338062227,0.1746732939652,0.240837332184325,0.31154911647917,0.192576881230507,0.166764110833148,0.0545759440348497,0.243802679879659,0.240589759719205,0.178877254843742,0.196746652480442,0.56318984626294,1,0.170015557344419,0.306869143439663,0.0850891905466484,0.0509226964623859,0.016435756318317,-0.14515866422337,0.0444375451447418,-0.0788012945808016,-0.2192549188818,-0.00142521390570095,0.0838390361406718,0.089264454359471,-0.0528956144958162,0.143104899435509,0.0166892263479464,0.0400472900872333,-0.038176496058758,0.0143094441975137,0.118695596001314,0.0407777164632058,0.0365674646661769,-0.0891780390103219,-0.00895663026917063
"BDI20",0.524156564391162,0.374894298344568,0.43579703727569,0.40121401424663,0.488528998298202,0.464719345855728,0.458281715592003,0.496737402581556,0.417527447134134,0.425868229604367,0.383724024145359,0.321876736661135,0.398741580435807,0.397851892510193,0.393166958623124,0.399930863723615,0.444568935863004,0.504671385550812,0.170015557344419,1,0.273722611547186,0.472512380991621,0.361709333938266,0.321832234634519,0.261210411102978,0.500285518120262,0.293227204013026,0.280841907811331,0.444763748015025,0.332774558429473,0.300663132571168,0.346869894755992,0.503903744591961,0.306095860539399,0.317516133076343,0.332159234861354,0.340503004128719,0.418806184480304,0.447167704129486,0.271760170149235,0.286758962612406,0.349485021208241
