"","BDI1","BDI2","BDI3","BDI4","BDI5","BDI6","BDI7","BDI8","BDI9","BDI10","BDI11","BDI12","BDI13","BDI14","BDI15","BDI16","BDI17","BDI18","BDI19","BDI20","BDI21","PQB1","PQB2","PQB3","PQB4","PQB5","PQB6","PQB8","PQB9","PQB10","PQB11","PQB13","PQB14","PQB15","PQB16","PQB17","PQB18","PQB19","PQB20","PQB21"
"BDI11",0.520355691010797,0.537899854676416,0.522359313629953,0.552927057394059,0.555192180830118,0.372954867024988,0.533911014987801,0.589996500179466,0.446642982464137,0.534239526475358,1,0.45285029645818,0.550474625447118,0.501442655412921,0.512353977770949,0.425138252739224,0.533522386362923,0.344333095589629,0.111100798826906,0.277329052105098,0.249763772583269,0.302881982051783,0.320592598751079,0.217269870343292,0.0992873599309538,0.288325911170442,0.29831262250716,0.395880335663249,0.246099314249469,0.265866904091635,0.246120948387967,0.251648801054016,0.217321680254754,0.0797455667126242,0.194416732646192,0.26558911462123,0.3570278834153,0.247985750298315,0.181758732659228,0.224480019980393
"BDI12",0.492048343794434,0.519311964234293,0.390813604518465,0.565058545353689,0.449673838372497,0.297140976512932,0.467304072802279,0.475213589076334,0.41393429710146,0.422554294460358,0.45285029645818,1,0.498164118918266,0.364746314536859,0.425109549670692,0.337913922123474,0.512972938108688,0.351200241421455,0.0971483801319738,0.246967169803491,0.336201736193336,0.340841150513028,0.175756874596867,0.143768940270614,0.0937419421108658,0.238436061107119,0.19403635139392,0.290166737117178,0.187319517218495,0.0926667324735589,0.167702373840536,0.113144290237001,0.195777531905921,0.0757855622740169,0.0917942785097722,0.226467119320427,0.322400576357347,0.180857195601411,0.12211733721834,0.20366617964439
"BDI13",0.539757663461764,0.557772178091041,0.597155098549316,0.606125215167052,0.605790851831291,0.405076707794845,0.572699665996533,0.617912884810544,0.453021575718946,0.451628631918627,0.550474625447118,0.498164118918266,1,0.477036899578425,0.548766800550535,0.38977303068739,0.570215795006098,0.343938356898486,0.0358039422366934,0.293478427044675,0.305286581005138,0.34960886175371,0.223516691938418,0.19679435895839,0.114113521016093,0.312295679896834,0.268256223238711,0.425125269659015,0.232804284993893,0.222631292724564,0.257520203185017,0.208546269524352,0.280620550962742,0.143260167517709,0.166672244196652,0.232981993085906,0.411321093376351,0.184920930890275,0.170301640681258,0.182964106720315
"BDI14",0.49636024073149,0.552370088413364,0.55434791513541,0.463618987500957,0.628082173401334,0.409710972299026,0.708515396793797,0.613117509050612,0.449382228529765,0.396843891597873,0.501442655412921,0.364746314536859,0.477036899578425,1,0.367232040611332,0.378773882720853,0.456335645184101,0.352068835113548,0.14391629080011,0.272644110810621,0.225805349690572,0.24082961353497,0.186698561673549,0.202277381881763,0.0935722825833541,0.239515391706942,0.0872756172587613,0.396166694477129,0.128664883236139,0.0986426301578229,0.174422372229953,0.234037484192184,0.210490413303186,0.0530644239480128,0.211905695197454,0.0994726704729405,0.363608289397745,0.144161695494799,0.171790292199192,0.169670764036473
"BDI15",0.536768486474147,0.51914275035776,0.529204140760474,0.554043561056952,0.523345828386072,0.350965817283385,0.513372422890805,0.520932375934063,0.428523113088428,0.478327976270167,0.512353977770949,0.425109549670692,0.548766800550535,0.367232040611332,1,0.41229192873843,0.637768341022424,0.349479966328564,0.148482920444162,0.291343908190373,0.303351776459885,0.274097709412082,0.184200227176707,0.196561959899816,0.0878824443424536,0.300112574635169,0.294212680924529,0.362226139873195,0.120184007471525,0.247511671318563,0.146070046497212,0.149085844460025,0.248399295427035,0.186710688898494,0.246315310157326,0.240755773994337,0.352924041988054,0.195098950301528,0.129624080053856,0.229628350298713
"BDI16",0.429974638789159,0.405899854922111,0.433470038196202,0.465010703381163,0.443623900126538,0.372020810678998,0.449122462779194,0.409083770133326,0.433732321559729,0.35834068091571,0.425138252739224,0.337913922123474,0.38977303068739,0.378773882720853,0.41229192873843,1,0.460754740642234,0.338680066125619,0.112299555074174,0.299842548828241,0.254252862654051,0.385840474890158,0.277438490035566,0.158874725775289,0.0352762342314928,0.382592030629032,0.142714191567762,0.367952948989974,0.143315774483146,0.237862274360745,0.263616782291896,0.221697857978397,0.317895936087855,0.217850266179651,0.244460634367592,0.242903624091524,0.325916619202646,0.193981745138739,0.199636064299742,0.223130326559915
"BDI17",0.607097764741177,0.59295238374541,0.579703620475039,0.631051098621748,0.599991094481016,0.419286022932627,0.598636578270958,0.59796639509082,0.509707862849173,0.558122637411765,0.533522386362923,0.512972938108688,0.570215795006098,0.456335645184101,0.637768341022424,0.460754740642234,1,0.404051150860661,0.132559480964999,0.344557812211364,0.275735429609515,0.333849839232839,0.178023008960435,0.1692154118012,0.0856270297127981,0.314511464256745,0.178376168914575,0.350300593633637,0.151281132823703,0.251434560984917,0.224195329905461,0.204469080813716,0.26384805705903,0.16758109685061,0.245996843096453,0.228337007412475,0.395303379003383,0.189762177563594,0.0895133031712051,0.212614878166465
"BDI18",0.466216627641159,0.381046845367491,0.379004005931598,0.430094543127145,0.396481473639685,0.309206494278354,0.412553014891912,0.392793402544533,0.412680072504119,0.449960385533585,0.344333095589629,0.351200241421455,0.343938356898486,0.352068835113548,0.349479966328564,0.338680066125619,0.404051150860661,1,0.387560583657365,0.391354213614563,0.353770452286683,0.303356665855188,0.260163439236223,0.181834746765076,0.114713459674987,0.240103586045185,0.115428703231936,0.206859645782799,0.170431595528156,0.156961815417796,0.168735338095431,0.127412371763874,0.161438207011015,0.140701839220913,0.137413914032873,0.172595009875339,0.275746602341244,0.189822460350306,0.190852320992585,0.199383349986104
"BDI19",0.155532356193475,0.124310072834826,0.0828584737678352,0.196386379250334,0.145205883704307,0.000437765860970397,0.137345744248837,0.123522680509649,0.167975346680293,0.192298930052558,0.111100798826906,0.0971483801319738,0.0358039422366934,0.14391629080011,0.148482920444162,0.112299555074174,0.132559480964999,0.387560583657365,1,0.0848746183203786,0.191591493807328,0.0303709819152443,0.00914747040284173,-0.00187130194854057,-0.0721776377266887,0.0151426394344417,-0.0565016517544011,-0.0317261372937541,0.0393461376251501,0.00953509944788436,-0.0559087559669455,0.00680351374084878,0.00232473744591144,-0.0331119602516424,0.00382899593295692,0.0567647109616509,-0.0189108285337292,0.0105730254856909,-0.0525956174394832,-0.0181304594859367
"BDI20",0.402952811308634,0.275741258574865,0.332628742017116,0.3012490985817,0.369782405474345,0.338480280615112,0.334014669047081,0.360264045920081,0.302029238879989,0.307548094458627,0.277329052105098,0.246967169803491,0.293478427044675,0.272644110810621,0.291343908190373,0.299842548828241,0.344557812211364,0.391354213614563,0.0848746183203786,1,0.151723612802566,0.36150168360746,0.260724460530026,0.214913783065743,0.168330151947804,0.383414155484217,0.206718889756345,0.336546626365845,0.22464661047261,0.179072003989827,0.225771855822258,0.205289525207307,0.225543660846395,0.218635002298522,0.254512076783071,0.290562773112277,0.327901098845581,0.167604216515341,0.162206743414233,0.286143162756903
